title,company,location,salary,skills
SEO Specialist,Toll Brothers,Amsterdam,$65K-$114K,"Search engine optimization Keyword research SEO tools (e.g., Google Analytics, SEMrush) On-page and off-page optimization"
Litigation Attorney,Ingredion,Dakar,$58K-$125K,Corporate law Commercial litigation Dispute resolution Contract law Legal strategy Negotiation
Civil Engineer,Massachusetts Mutual Life Insurance,Abu Dhabi,$55K-$101K,"Transportation engineering Traffic analysis and planning Civil engineering software (e.g., MicroStation, AutoCAD Civil 3D) Roadway design Public transportation knowledge"
Procurement Specialist,American Electric Power,Sucre (de jure),$56K-$108K,Procurement strategies Supplier management Negotiation Cost analysis Supply chain management
Inventory Analyst,Laboratory Corp. of America,Charlotte Amalie,$59K-$108K,Inventory management Stock control Demand forecasting Inventory tracking systems Supply chain coordination Problem-solving skills
UX/UI Designer,JD Sports Fashion,Bucharest,$56K-$110K,"User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows"
Registered Nurse,NIO Inc.,Copenhagen,$55K-$122K,Nursing leadership Charge nurse responsibilities Team coordination
Purchasing Agent,EOG Resources,Asmara,$55K-$107K,Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination
Procurement Manager,Lowe's,BogotÃ¡,$55K-$112K,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen
Market Analyst,Humana,Ljubljana,$63K-$114K,Competitive analysis Market research Data analysis Business strategy Industry knowledge
Administrative Assistant,GXO Logistics,Warsaw,$64K-$111K,"Calendar management Travel coordination Meeting scheduling Correspondence and communication Office organization Confidentiality Time management Problem-solving Attention to detail Communication skills Technology proficiency (e.g., MS Office)"
Data Entry Clerk,Gap,Cockburn Town,$59K-$130K,Records management Data entry and retrieval Attention to detail
Event Coordinator,HSBC (Hongkong and Shanghai Banking Corporation),ReykjavÃ­k,$55K-$108K,Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail
QA Analyst,Newcrest Mining,AsunciÃ³n,$58K-$125K,"Software quality assurance Test planning Test case design Test execution Defect tracking Test automation (e.g., Selenium)"
Account Director,Public Service Enterprise Group,Sucre (de jure),$60K-$116K,Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills
Structural Engineer,Suncorp Group,Manama,$58K-$110K,Construction management Structural design AutoCAD proficiency Project management Site inspection
QA Analyst,Persimmon plc,Kathmandu,$63K-$113K,"Software quality assurance Test planning Test case design Test execution Defect tracking Test automation (e.g., Selenium)"
Systems Engineer,Packaging Corp. of America,Warsaw,$62K-$99K,"Cloud systems engineering Cloud infrastructure (e.g., AWS, Azure) DevOps practices Automation Security in the cloud Disaster recovery Scalability"
Teacher,Tesco,Jerusalem,$61K-$103K,Teaching pedagogy Classroom management Curriculum development Student assessment Differentiated instruction
Tax Consultant,Walt Disney,SÃ£o TomÃ©,$61K-$115K,International tax law knowledge Transfer pricing Cross-border tax planning Tax treaties and agreements Foreign tax credits International tax compliance Transfer pricing documentation Multinational tax strategies Client relationship management Communication skills Tax software proficiency
Data Analyst,Vertex Pharmaceuticals,Ashgabat,$58K-$89K,"Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making"
Legal Assistant,BHEL (Bharat Heavy Electricals Limited),Singapore,$65K-$103K,"Legal research Document drafting Case management E-filing Legal databases (e.g., LexisNexis) Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency"
Structural Engineer,Block,Nuku?alofa,$56K-$88K,Engineering design CAD software proficiency Problem-solving Technical knowledge Communication skills
Business Development Manager,SpartanNash,Nur-Sultan,$57K-$93K,Partnership development Negotiation and collaboration Business development
Office Manager,DCP Midstream,BogotÃ¡,$55K-$130K,Facilities management Property maintenance Space planning Budget management Health and safety compliance Vendor management
Procurement Specialist,CenterPoint Energy,Male,$58K-$119K,Sourcing strategies Supplier evaluation Market research Cost analysis Contract negotiation
Physical Therapist,Nestle India,Willemstad,$61K-$96K,Orthopedic assessment and treatment Rehabilitation exercises Patient education
Physician Assistant,Sartorius AG,Moroni,$61K-$117K,Emergency medical care Triage and assessment Trauma management
Environmental Engineer,Leidos Holdings,Algiers,$60K-$118K,Environmental assessments Regulatory compliance Environmental impact analysis
Event Coordinator,Ulta Beauty,Phnom Penh,$57K-$124K,Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail
Public Relations Specialist,British American Tobacco,"Malabo (de jure),",$62K-$111K,Media relations Press releases Media outreach Crisis communication Public relations strategies
Financial Controller,PepsiCo,Marigot,$65K-$109K,"Financial management Budgeting Financial analysis Financial reporting Risk management Financial software (e.g., Excel, QuickBooks) Strategic planning"
Digital Marketing Specialist,Landstar System,Kampala,$56K-$105K,"Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising"
Landscape Architect,Adani Ports and Special Economic Zone,Berlin,$58K-$83K,Landscape design Plant selection and care Hardscape design
Business Development Manager,Northrop Grumman,Islamabad,$64K-$107K,Partnership development Negotiation and collaboration Business development
Paralegal,China Unicom,Algiers,$57K-$102K,Real estate transactions Title searches Closing processes Deed preparation Contract review Communication with real estate professionals Attention to detail Real estate terminology Technology proficiency Legal software proficiency Legal research skills
Marketing Director,DXC Technology,Apia,$57K-$86K,Marketing communication Public relations Content strategy Crisis management Media relations
Electrical Designer,Scottish Mortgage Investment Trust,Conakry,$59K-$110K,Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving
Electrical Designer,Norwegian Cruise Line Holdings Ltd.,Kuwait City,$63K-$119K,Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving
UX/UI Designer,AstraZeneca,Bishkek,$57K-$105K,"User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows"
Landscape Architect,Travis Perkins,Quito,$59K-$90K,Landscape design Plant selection and care Hardscape design
Customer Support Specialist,Suncorp Group,Apia,$58K-$128K,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy
Family Lawyer,Adani Ports and Special Economic Zone,Bern,$57K-$129K,Mediation Conflict resolution Negotiation Communication skills Neutrality Problem-solving Legal knowledge Mediation techniques
Network Security Specialist,Ping An Insurance,Lusaka,$63K-$115K,"Cybersecurity Security assessments Intrusion detection Security tools (e.g., SIEM) Incident response Vulnerability scanning"
Data Entry Clerk,Downer Group,Pretoria,$56K-$125K,Office management Administrative tasks Communication and organization
Occupational Therapist,MasTec,Manila,$64K-$94K,"Geriatric assessment and evaluation Geriatric-specific occupational therapy techniques Aging-related conditions (e.g., dementia, arthritis) Fall prevention strategies Care coordination with healthcare teams Assistive technology for seniors Patient advocacy Empathy and compassion Communication skills"
Physical Therapist,Freeport-McMoRan,Andorra la Vella,$64K-$89K,Orthopedic assessment and treatment Rehabilitation exercises Patient education
Event Coordinator,Tata Power,Riyadh,$56K-$99K,Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail
